item_id, type, equip_pos, open_level, role_limit, unique, change_shape, sale_currency_type, sale_price, strengthenable, strength_level_limit, can_has_hole, base_attr_1, base_attr_1_value, base_attr_2, base_attr_2_value, base_attr_3, base_attr_3_value, stone_slots, quality_level, extra_attr_random, extra_attr_count, extra_attr_packid, extra_attr_1, extra_attr_1_value, extra_attr_2, extra_attr_2_value, extra_attr_3, extra_attr_3_value, extra_attr_4, extra_attr_4_value, extra_attr_5, extra_attr_5_value, 
211301 ,  11 ,  11 ,  35 ,  3 ,  0 ,  0 ,  1 ,  875 ,  1 ,  10 ,  1 ,  10 ,  199 ,  12 ,  189 ,  0 ,  0 ,  1 ,  1 ,  1 ,  1 ,  203003 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  
212301 ,  11 ,  11 ,  35 ,  3 ,  0 ,  0 ,  1 ,  875 ,  1 ,  10 ,  1 ,  10 ,  265 ,  12 ,  255 ,  0 ,  0 ,  1 ,  2 ,  1 ,  1 ,  203003 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  
213301 ,  11 ,  11 ,  35 ,  3 ,  0 ,  0 ,  1 ,  875 ,  1 ,  10 ,  1 ,  10 ,  355 ,  12 ,  345 ,  0 ,  0 ,  2 ,  3 ,  1 ,  2 ,  203003 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  
211302 ,  11 ,  11 ,  35 ,  1 ,  0 ,  0 ,  1 ,  875 ,  1 ,  10 ,  1 ,  11 ,  104 ,  0 ,  0 ,  0 ,  0 ,  1 ,  1 ,  1 ,  1 ,  203001 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  
212302 ,  11 ,  11 ,  35 ,  1 ,  0 ,  0 ,  1 ,  875 ,  1 ,  10 ,  1 ,  11 ,  137 ,  0 ,  0 ,  0 ,  0 ,  1 ,  2 ,  1 ,  1 ,  203001 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  
213302 ,  11 ,  11 ,  35 ,  1 ,  0 ,  0 ,  1 ,  875 ,  1 ,  10 ,  1 ,  11 ,  182 ,  0 ,  0 ,  0 ,  0 ,  2 ,  3 ,  1 ,  2 ,  203001 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  
211303 ,  11 ,  11 ,  35 ,  2 ,  0 ,  0 ,  1 ,  875 ,  1 ,  10 ,  1 ,  9 ,  104 ,  0 ,  0 ,  0 ,  0 ,  1 ,  1 ,  1 ,  1 ,  203002 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  
212303 ,  11 ,  11 ,  35 ,  2 ,  0 ,  0 ,  1 ,  875 ,  1 ,  10 ,  1 ,  9 ,  137 ,  0 ,  0 ,  0 ,  0 ,  1 ,  2 ,  1 ,  1 ,  203002 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  
213303 ,  11 ,  11 ,  35 ,  2 ,  0 ,  0 ,  1 ,  875 ,  1 ,  10 ,  1 ,  9 ,  182 ,  0 ,  0 ,  0 ,  0 ,  2 ,  3 ,  1 ,  2 ,  203002 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  
211401 ,  11 ,  11 ,  40 ,  3 ,  0 ,  0 ,  1 ,  1000 ,  1 ,  10 ,  1 ,  10 ,  223 ,  12 ,  213 ,  0 ,  0 ,  1 ,  1 ,  1 ,  1 ,  204003 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  
